score,members,episodes,genre_count,prediction
7.72,89655,13,1,2
7.15,87876,12,2,1
2.88,85058,12,2,2
7.16,84320,12,2,1
7.92,76111,12,1,2
6.15,75575,12,3,1
5.84,75421,12,3,1
6.65,72621,13,4,1
7.41,71819,12,1,2
7.01,71046,8,2,1
6.42,68086,12,2,1
8.08,63510,13,1,2
6.3,61727,12,3,1
6.39,60560,12,1,2
7.0,54842,12,2,1
6.75,51883,12,5,1
5.86,51639,12,1,2
6.54,49527,12,1,2
7.26,47614,13,-1,2
6.5,47019,12,4,1
5.6,46458,12,2,2
5.85,45380,12,3,1
6.1,44890,13,2,1
6.45,44313,12,1,2
6.33,44281,24,2,3
6.72,43608,12,1,2
5.93,36333,13,1,2
6.31,35448,13,2,1
6.17,35051,12,2,1
6.2,32192,11,4,1
5.86,32131,24,1,3
7.13,31442,12,1,2
6.23,28967,12,1,2
5.91,27073,12,3,1
7.29,26704,12,1,2
5.8,25897,13,3,1
8.23,25854,13,1,2
4.67,25559,13,2,2
6.3,22888,12,3,1
5.95,21745,11,2,2
6.83,20142,12,1,2
6.94,20132,12,1,2
8.01,18689,12,1,2
6.56,18083,12,-1,2
5.83,18053,12,3,1
5.97,17348,12,1,2
5.83,17047,13,3,1
5.78,17028,12,2,2
6.28,16995,13,2,1
5.5,16770,12,2,2
6.38,15604,12,1,2
5.92,13716,13,3,1
7.14,13560,12,2,1
6.5,13090,12,1,2
5.6,11583,12,-1,2
5.11,9154,12,4,1
5.28,8944,12,1,2
6.7,8552,13,2,1
6.39,8225,13,-1,2
6.04,7793,12,1,2
6.97,7694,26,1,3
5.85,7005,12,3,1
6.18,6669,13,2,1
6.68,6229,12,2,1
5.06,5637,10,-1,2
6.54,4482,24,1,3
6.3,3328,10,1,2
5.43,3320,12,1,2
6.74,2349,16,2,1
5.99,2306,26,1,3
5.61,1333,12,1,2
5.95,1028,13,1,2
6.0,752,12,2,2
5.89,595,12,-1,2
8.45,1764693,12,2,0
8.46,1754418,12,3,0
8.76,1448169,12,3,0
8.15,1194594,12,1,0
8.22,1046908,13,2,0
8.98,1037117,13,2,0
6.52,824941,13,4,0
8.71,787953,12,3,0
8.08,736143,13,2,0
8.75,704049,12,1,0
7.95,685189,13,2,0
8.99,641926,13,3,0
8.47,623991,25,3,0
8.07,596637,13,3,0
6.94,589215,12,2,0
8.15,557386,13,1,0
8.0,529080,12,1,0
6.65,508448,12,2,1
8.61,503389,12,5,0
7.71,455946,12,1,0
6.76,454075,12,2,1
7.15,436601,12,3,1
7.75,385471,11,3,0
7.59,378433,12,1,0
7.28,372579,12,2,1
7.32,354591,12,3,1
7.14,349270,12,3,1
7.0,335823,12,4,1
8.19,325173,12,3,0
6.73,321389,12,2,1
6.29,319403,12,2,1
8.11,319337,12,1,0
6.8,317469,12,2,1
7.39,315554,12,2,1
7.5,314483,12,3,1
6.87,311949,24,2,3
6.54,283960,12,4,1
7.43,281875,13,3,1
6.23,280971,12,3,1
7.74,276950,12,4,1
5.9,272830,11,2,1
7.03,272362,12,3,1
7.14,268739,12,4,1
7.39,263095,12,4,1
6.79,262045,13,3,1
7.27,251963,12,1,2
7.74,247989,12,1,2
8.16,239987,24,1,3
7.24,239870,13,2,1
6.33,237186,12,3,1
6.92,225936,13,3,1
8.2,220025,12,1,2
7.65,204011,12,1,2
8.38,203351,12,2,1
7.2,201950,12,3,1
7.12,195896,12,3,1
6.9,187142,12,2,1
6.06,182902,12,1,2
7.58,180581,12,2,1
6.76,180175,12,3,1
8.07,179343,10,1,2
6.95,179337,12,3,1
7.02,178041,12,2,1
6.39,175367,12,4,1
6.7,168210,12,4,1
7.3,163803,12,2,1
5.96,158295,12,3,1
6.57,139314,11,2,1
6.33,137325,12,2,1
7.74,137099,12,4,1
8.01,133056,12,2,1
6.61,123800,12,3,1
6.54,123342,12,3,1
7.45,118072,12,1,2
7.07,116670,8,2,1
6.34,116121,12,1,2
7.54,112528,13,2,1
7.55,105012,12,1,2
7.81,102578,11,1,2
7.79,88603,11,2,1
7.35,84195,12,1,2
6.87,83712,12,2,1
8.73,79609,26,1,3
6.62,77588,12,3,1
7.84,74545,12,1,2
7.32,74226,12,3,1
7.27,73928,12,-1,2
6.34,72136,12,2,1
7.48,70882,13,1,2
7.25,68403,12,2,1
5.94,67784,12,3,1
6.34,66723,12,3,1
7.1,64884,13,2,1
6.38,64101,24,3,3
6.7,62845,12,2,1
5.63,62641,24,2,3
7.04,61488,12,3,1
7.16,56775,13,1,2
5.86,55524,12,3,1
6.7,51042,12,2,1
7.9,49639,13,5,1
6.08,49502,12,2,1
7.53,48156,11,1,2
6.61,47311,12,2,1
5.95,45315,12,3,1
7.42,44437,12,2,1
6.54,42705,24,1,3
7.66,42481,13,1,2
7.11,42031,12,2,1
7.51,41023,28,3,3
7.14,41018,11,2,1
5.99,38631,12,1,2
7.08,37366,12,2,1
7.67,37089,12,1,2
7.3,36157,12,2,1
5.46,34842,12,1,2
5.43,34192,4,1,2
5.8,31068,12,2,2
5.83,29697,3,2,2
7.48,28441,12,1,2
6.78,27645,24,-1,3
7.64,27523,12,2,1
6.73,27112,13,2,1
6.15,26584,13,1,2
6.75,26466,10,2,1
6.68,25619,12,1,2
6.64,24335,13,2,1
5.31,23083,12,1,2
5.0,22883,12,1,2
6.64,22366,12,1,2
5.47,21825,12,1,2
6.61,21130,12,1,2
6.03,20526,12,1,2
6.52,19794,12,3,1
5.28,17969,13,1,2
6.78,17367,13,1,2
6.5,16885,60,2,3
6.97,16061,6,2,2
6.53,15498,12,2,1
6.87,14930,12,2,1
7.35,14753,12,1,2
6.65,14490,13,5,1
6.52,13343,12,2,1
6.46,12999,12,1,2
5.72,11772,8,1,2
6.19,11665,13,3,1
4.66,10915,12,1,2
6.69,10339,12,2,1
6.3,10253,10,1,2
5.72,9591,24,1,3
6.08,9236,11,1,2
4.65,8516,13,2,2
6.85,7524,13,1,2
3.8,7409,12,1,2
5.43,7367,13,-1,2
7.23,5788,12,1,2
6.13,5694,12,1,2
5.46,5618,10,1,2
6.0,4395,26,2,3
6.9,4311,12,1,2
5.81,2939,12,1,2
6.61,2589,9,3,1
5.94,1953,50,-1,3
6.12,1137,12,2,2
5.51,1055,10,1,2
8.75,1205158,23,2,0
8.18,994169,11,2,0
8.57,957954,11,2,0
8.09,829788,13,3,0
8.81,754904,24,3,0
7.62,709950,12,3,0
8.22,682482,12,4,0
7.74,627695,12,2,0
8.06,597164,12,2,0
8.21,575049,13,3,0
8.15,545344,11,3,0
7.77,492405,13,1,0
7.1,485784,12,4,0
8.29,472069,12,3,0
7.74,465694,13,2,0
8.15,408488,13,1,0
7.63,401845,13,2,0
8.23,390949,12,2,0
